address,city,days_open,latitude,name,state,zip,longitude
3101 Tyson Ave.,Philadelphia,"['Tuesday', 'Wednesday', 'Friday', 'Saturday']",40.0372483,Feast of Justice,PA,19149,-75.0528417
2005 N. 61st St.,Philadelphia,"['Sunday', 'Saturday']",39.9754726,Feed The Needy Association,PA,19151,-75.2417463
3314 Germantown Avenue,Philadelphia,['Wednesday'],40.0032324,Fellowship Greater Jehovah Baptist Church,PA,19140,-75.1492216
555 W. Annsbury St.,Philadelphia,['Saturday'],40.0206729,Feltonville Dream Center/ Master Builders Church,PA,19141,-75.13552824
4159 W. Girard Ave.,Philadelphia,['Monday'],39.9740871,First African Presbyterian Church,PA,19104,-75.2063459
201 Mulberry St.,Bristol,"['Tuesday', 'Wednesday', 'Thursday']",40.096488,First United Methodist Church of Bristol,PA,19007,-74.854956
350 W. State St.,Media,"['Thursday', 'Saturday']",39.91848987,First United Methodist Church of Media,PA,19063,-75.39402503
5500 Tabor Ave.,Philadelphia,['Friday'],40.035469,Food with Love/Iglesia Cristiana Avivamiento,PA,19120,-75.104708
6100 W. Columbia Ave.,Philadelphia,['Tuesday'],39.980962,Freedom Development Corporation,PA,19151,-75.242936
1620 S. 58th St.,Philadelphia,['Wednesday'],39.93855317,Freedom Worship Center,PA,19143,-75.23202633
4500 W. Lancaster Ave.,Philadelphia,['Saturday'],39.969723,Fresh Start Resource Services,PA,19131,-75.213125
1215 W. Ruscomb St.,Philadelphia,['Thursday'],40.02886014,Friendly Baptist Church,PA,19141,-75.14412243
800 W. Marshall St.,Norristown,"['Tuesday', 'Saturday']",40.121608,Friends Helping Friends (Haws Avenue United Methodist Church),PA,19401,-75.351776
175 Green Ln.,Philadelphia,"['Monday', 'Friday']",40.028719,Friends in Supplying Help (North Light Community Center),PA,19127,-75.2243475
701 N. 8th St.,Philadelphia,['Tuesday'],39.9646196,Friends Neighborhood Guild,PA,19123,-75.1510529
1201 S. 51st St.,Philadelphia,['Monday'],39.942075,Friends of the Kingsessing Library,PA,19143,-75.2182486
711 Spring Garden St.,Philadelphia,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",39.96130643,Friends Rehabilitation Program Pantry - Guild East,PA,19123,-75.15047646
1221 Fairmount Ave.,Philadelphia,['Tuesday'],39.96711015,Friends Rehabilitation Program: Guild House West,PA,19123,-75.15747487
1220 Lindley Ave.,Philadelphia,['Wednesday'],40.03006432,Friends Rehabilitation Program: The Lindley,PA,19141,-75.14379159
2812 N. Front St.,Philadelphia,['Saturday'],39.9929224,Front Street Community Church Food Pantry/ God's Storehouse,PA,19133,-75.1306414
2229 N. Cleveland St.,Philadelphia,"['Tuesday', 'Wednesday', 'Thursday']",39.987674,Genesis Ministries It's (Not Your Fault),PA,19132,-75.16296229
35 W. Chelten Ave.,Philadelphia,"['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']",40.03536095,Germantown Avenue Crisis Ministry,PA,19144,-75.17573172
200 E. Cliveden St.,Philadelphia,['Thursday'],40.0494455,Germantown SDA Church,PA,19119,-75.179679
2159 N. 28th St.,Philadelphia,['Wednesday'],39.98850341,Gibson Temple Baptist Church/Blessed to be a Blessing,PA,19121,-75.17866004
8000 Lyons Ave.,Philadelphia,['Open:'],39.900634,Gift of God Resources,PA,19153,-75.244525
6101 Limekiln Pike,Philadelphia,"['Monday', 'Tuesday', 'Wednesday', 'Friday']",40.0466471,Giving of Self Partnership,PA,19141,-75.1488211
